Word,Frequency,Percentage
updates,14,0.07544322897019992
heartsmiling,14,0.07544322897019992
omgggg,14,0.07544322897019992
real,14,0.07544322897019992
believe,14,0.07544322897019992
pleading,14,0.07544322897019992
sooo,14,0.07544322897019992
every,14,0.07544322897019992
help,14,0.07544322897019992
phone,14,0.07544322897019992
repeat,13,0.07005442690089993
apple,13,0.07005442690089993
guys,13,0.07005442690089993
flower,13,0.07005442690089993
tho,13,0.07005442690089993
probably,13,0.07005442690089993
yessss,13,0.07005442690089993
definitely,13,0.07005442690089993
que,13,0.07005442690089993
cherry,13,0.07005442690089993
best,13,0.07005442690089993
tinkerbell,13,0.07005442690089993
scene,13,0.07005442690089993
almost,13,0.07005442690089993
woman,13,0.07005442690089993
girlie,13,0.07005442690089993
castle,13,0.07005442690089993
mark,13,0.07005442690089993
cry,13,0.07005442690089993
faceheart,12,0.06466562483159993
hell,12,0.06466562483159993
heartstwo,12,0.06466562483159993
cards,12,0.06466562483159993
beautifulbeautiful,12,0.06466562483159993
lot,12,0.06466562483159993
making,12,0.06466562483159993
head,12,0.06466562483159993
driving,12,0.06466562483159993
playing,12,0.06466562483159993
husbands,12,0.06466562483159993
blossom,12,0.06466562483159993
old,12,0.06466562483159993
feeling,12,0.06466562483159993
nostalgic,11,0.05927682276229994
faceweary,11,0.05927682276229994
jacket,11,0.05927682276229994
wanted,11,0.05927682276229994
saw,11,0.05927682276229994
side,11,0.05927682276229994
money,11,0.05927682276229994
handsclapping,11,0.05927682276229994
singing,11,0.05927682276229994
theme,11,0.05927682276229994
hearing,11,0.05927682276229994
early,11,0.05927682276229994
say,11,0.05927682276229994
heard,11,0.05927682276229994
great,11,0.05927682276229994
miss,11,0.05927682276229994
agree,11,0.05927682276229994
better,11,0.05927682276229994
sparkling,11,0.05927682276229994
many,11,0.05927682276229994
folded,11,0.05927682276229994
meet,11,0.05927682276229994
doctor,11,0.05927682276229994
times,11,0.05927682276229994
kissface,11,0.05927682276229994
facesmiling,10,0.053888020692999944
soundtrack,10,0.053888020692999944
looking,10,0.053888020692999944
coded,10,0.053888020692999944
least,10,0.053888020692999944
kinda,10,0.053888020692999944
using,10,0.053888020692999944
could,10,0.053888020692999944
exclamation,10,0.053888020692999944
yall,10,0.053888020692999944
mind,10,0.053888020692999944
theres,10,0.053888020692999944
freaking,10,0.053888020692999944
lis,10,0.053888020692999944
hold,10,0.053888020692999944
tearsface,10,0.053888020692999944
opens,10,0.053888020692999944
isnt,10,0.053888020692999944
second,10,0.053888020692999944
fearface,10,0.053888020692999944
toneheart,10,0.053888020692999944
broke,10,0.053888020692999944
facetired,10,0.053888020692999944
card,10,0.053888020692999944
tear,10,0.053888020692999944
insane,10,0.053888020692999944
joyface,10,0.053888020692999944
peeking,10,0.053888020692999944
happening,10,0.053888020692999944
needed,9,0.04849921862369995
anymore,9,0.04849921862369995
space,9,0.04849921862369995
headspeaking,9,0.04849921862369995
fight,9,0.04849921862369995
dream,9,0.04849921862369995
laughingrolling,9,0.04849921862369995
clapping,9,0.04849921862369995
guns,9,0.04849921862369995
tired,9,0.04849921862369995
coming,9,0.04849921862369995
popperred,9,0.04849921862369995
favourite,9,0.04849921862369995
fine,9,0.04849921862369995
facetwo,9,0.04849921862369995
big,9,0.04849921862369995
needs,9,0.04849921862369995
walking,9,0.04849921862369995
doesnt,9,0.04849921862369995
released,9,0.04849921862369995
cute,9,0.04849921862369995
feelings,9,0.04849921862369995
cause,9,0.04849921862369995
sound,9,0.04849921862369995
remember,9,0.04849921862369995
masterpiece,9,0.04849921862369995
facefolded,9,0.04849921862369995
imagine,9,0.04849921862369995
chase,9,0.04849921862369995
gosh,9,0.04849921862369995
woah,9,0.04849921862369995
character,9,0.04849921862369995
mediumlight,9,0.04849921862369995
theyre,9,0.04849921862369995
birthday,9,0.04849921862369995
sweatgrinning,9,0.04849921862369995
2000s,9,0.04849921862369995
sweet,9,0.04849921862369995
omfg,9,0.04849921862369995
next,9,0.04849921862369995
whats,8,0.04311041655439996
fast,8,0.04311041655439996
diamonds,8,0.04311041655439996
tell,8,0.04311041655439996
exactly,8,0.04311041655439996
fucking,8,0.04311041655439996
yet,8,0.04311041655439996
pretty,8,0.04311041655439996
wont,8,0.04311041655439996
movies,8,0.04311041655439996
memories,8,0.04311041655439996
little,8,0.04311041655439996
banget,8,0.04311041655439996
husband,8,0.04311041655439996
perfect,8,0.04311041655439996
facesparkling,8,0.04311041655439996
watching,8,0.04311041655439996
ahhhh,8,0.04311041655439996
era,8,0.04311041655439996
banger,8,0.04311041655439996
branch,8,0.04311041655439996
wedding,8,0.04311041655439996
ahhhhh,8,0.04311041655439996
furious,8,0.04311041655439996
cannot,8,0.04311041655439996
far,8,0.04311041655439996
whos,8,0.04311041655439996
wanna,8,0.04311041655439996
infinity,8,0.04311041655439996
single,8,0.04311041655439996
might,8,0.04311041655439996
pleaseeee,8,0.04311041655439996
loved,8,0.04311041655439996
soon,8,0.04311041655439996
crazy,8,0.04311041655439996
fresh,8,0.04311041655439996
totally,8,0.04311041655439996
omggg,8,0.04311041655439996
shooting,8,0.04311041655439996
immediately,8,0.04311041655439996
full,7,0.03772161448509996
though,7,0.03772161448509996
find,7,0.03772161448509996
cuz,7,0.03772161448509996
musical,7,0.03772161448509996
try,7,0.03772161448509996
world,7,0.03772161448509996
bit,7,0.03772161448509996
enough,7,0.03772161448509996
arent,7,0.03772161448509996
jaw,7,0.03772161448509996
dropped,7,0.03772161448509996
heartpurple,7,0.03772161448509996
daddy,7,0.03772161448509996
faceface,7,0.03772161448509996
true,7,0.03772161448509996
wallet,7,0.03772161448509996
melting,7,0.03772161448509996
series,7,0.03772161448509996
someone,7,0.03772161448509996
hair,7,0.03772161448509996
fav,7,0.03772161448509996
spend,7,0.03772161448509996
buy,7,0.03772161448509996
delete,7,0.03772161448509996
alive,7,0.03772161448509996
save,7,0.03772161448509996
cooked,7,0.03772161448509996
similar,7,0.03772161448509996
winx,7,0.03772161448509996
missed,7,0.03772161448509996
lovely,7,0.03772161448509996
around,7,0.03772161448509996
home,7,0.03772161448509996
heartparty,7,0.03772161448509996
everyone,7,0.03772161448509996
fuck,7,0.03772161448509996
name,7,0.03772161448509996
together,7,0.03772161448509996
daddies,7,0.03772161448509996
swifts,7,0.03772161448509996
addicted,7,0.03772161448509996
firefirefire,7,0.03772161448509996
sorry,7,0.03772161448509996
losing,7,0.03772161448509996
lyrics,7,0.03772161448509996
without,7,0.03772161448509996
hearteyesred,7,0.03772161448509996
awesome,7,0.03772161448509996
facegrowing,7,0.03772161448509996
epic,7,0.03772161448509996
edit,7,0.03772161448509996
flushed,7,0.03772161448509996
duo,7,0.03772161448509996
work,7,0.03772161448509996
romantic,7,0.03772161448509996
facegrinning,7,0.03772161448509996
refreshing,7,0.03772161448509996
beg,7,0.03772161448509996
aaaa,6,0.032332812415799966
ikr,6,0.032332812415799966
last,6,0.032332812415799966
yay,6,0.032332812415799966
bigger,6,0.032332812415799966
shaking,6,0.032332812415799966
hey,6,0.032332812415799966
havent,6,0.032332812415799966
glad,6,0.032332812415799966
list,6,0.032332812415799966
healing,6,0.032332812415799966
eyeface,6,0.032332812415799966
facepleading,6,0.032332812415799966
songred,6,0.032332812415799966
quality,6,0.032332812415799966
btw,6,0.032332812415799966
lip,6,0.032332812415799966
con,6,0.032332812415799966
days,6,0.032332812415799966
suit,6,0.032332812415799966
mcs,6,0.032332812415799966
dark,6,0.032332812415799966
goes,6,0.032332812415799966
heartblack,6,0.032332812415799966
fingers,6,0.032332812415799966
loving,6,0.032332812415799966
different,6,0.032332812415799966
mans,6,0.032332812415799966
events,6,0.032332812415799966
lagu,6,0.032332812415799966
ini,6,0.032332812415799966
wide,6,0.032332812415799966
mean,6,0.032332812415799966
standing,6,0.032332812415799966
growing,6,0.032332812415799966
wonder,6,0.032332812415799966
players,6,0.032332812415799966
started,6,0.032332812415799966
forever,6,0.032332812415799966
soothing,6,0.032332812415799966
gave,6,0.032332812415799966
year,6,0.032332812415799966
live,6,0.032332812415799966
club,6,0.032332812415799966
