"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@AMorevna","false","Ugwqu0b2ln2HNxcUI214AaABAg","Day 1533647 of asking you to put this on Spotify 😭😭😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@KawaiiMysticArmy","false","Ugw2ycGTVbOgKDM6mSl4AaABAg","🧡🩵💜🤍❤","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago (edited)","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@BlacariaEverfrost","false","UgzaNhs_Nz-JVTPkj1J4AaABAg","Its giving Barbie ""Diamond castle"" vibe and i love it soo much! ❤ i hope they kept making these kind of songs in the future","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@HarleyQuinn_2150","false","UgwHalqg2FIJcvsVLwJ4AaABAg","Literally my new favorite LaD song","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@anabelatan","false","UgwECiGrltUJT5hsTB54AaABAg","i love this","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@Prisoo_25","false","Ugzpz3o4bnLZ-4NY2jZ4AaABAg","Please upload on Spotify 2:32 
Please please 🥺","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@kwangya16","false","UgwI5jiF5Wr9OdoHPeh4AaABAg","need to spotify please!","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@ShuuMizu","false","Ugz5K-IHAet7crRpgbd4AaABAg","So it's not just me feelings the song like a Barbie's song 😭︎‪‪‪‪‪💞","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@isabellapimenta473","false","UgzKhrgUxHKT27QLbAZ4AaABAg","Eu preciso tanto dessa música no spotify","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago (edited)","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@inseoyangi","false","UgyzIHVbcsv0gVsPgYB4AaABAg","this song is good 😫 i don't think i'll ever change my bgm","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@tessarivera178","false","Ugw6md_QixYSTdhj6eZ4AaABAg","I've put this song on continuous repeat in the game. I love it. Please i need it on Spotify!!!! ❤❤❤❤❤","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@queenofpents3442","false","UgySp4lqQ3jlHFW7XJd4AaABAg","Omg thank you!! Waiting for it to be added spotify! Thiis song is like floating in a field of flowers!","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@fahzy6059","false","UgzBCjIQrb1pTHQ5yK54AaABAg","Add in spotify plsssssssssss 😢😢😢","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@bahngknow","false","UgxYfxDp-aSn3KM730F4AaABAg","KAPAN ADA DI SPOTIFY😭😭😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@Echleon_","false","Ugxy1l-40yJbdt-bMm94AaABAg","this is so taylor swift love story-coded

whoever the vocalist is I LOVE YOU GIRL","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@Zaynesjasmine","false","Ugx-d2VSIeNKAwtUfLZ4AaABAg","i swear this song is giving me Barbie and the diamond castle movie😭😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@Sashwiuw","false","UgyBUslSrnLDdrIRvmJ4AaABAg","RELEASE IT ON SPOTIFYYYYY!!!!","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","2"
